t,x,y,z,qw,qx,qy,qz,gripper_trigger
0.665037,-0.0662059,-0.0016382,0.179901,0.507798,-0.50833,-0.465081,0.517148,0
0.670033,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.675045,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.679968,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.684968,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.690041,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.695023,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.700005,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.70506,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.710024,-0.0662059,-0.0016382,0.179901,0.507497,-0.508679,-0.465385,0.516827,0
0.714996,-0.0662059,-0.0016382,0.179901,0.507195,-0.509028,-0.46569,0.516505,0
0.720012,-0.0662059,-0.0016382,0.179901,0.506803,-0.508805,-0.465948,0.516876,0
0.725032,-0.0662059,-0.0016382,0.179901,0.506803,-0.508805,-0.465948,0.516876,0
0.729991,-0.0662059,-0.0016382,0.179901,0.506803,-0.508805,-0.465948,0.516876,0
0.735046,-0.0662059,-0.0016382,0.179901,0.507104,-0.508456,-0.465644,0.517198,0
0.740029,-0.0662059,-0.0016382,0.179901,0.506803,-0.508805,-0.465948,0.516876,0
0.744968,-0.0662059,-0.0016382,0.179901,0.506803,-0.508805,-0.465948,0.516876,0
0.75005,-0.0662059,-0.0016382,0.179901,0.506803,-0.508805,-0.465948,0.516876,0
0.754995,-0.0662059,-0.0016382,0.179901,0.50641,-0.508582,-0.466207,0.517247,0
0.760038,-0.0662059,-0.0016382,0.179901,0.50641,-0.508582,-0.466207,0.517247,0
0.76497,-0.0662059,-0.0016382,0.179901,0.50641,-0.508582,-0.466207,0.517247,0
0.769996,-0.0662059,-0.0016382,0.179901,0.50641,-0.508582,-0.466207,0.517247,0
0.775077,-0.0662059,-0.0016382,0.179901,0.506711,-0.508233,-0.465902,0.517569,0
0.780023,-0.0662059,-0.0016382,0.179901,0.506711,-0.508233,-0.465902,0.517569,0
0.78497,-0.0662059,-0.0016382,0.179901,0.506711,-0.508233,-0.465902,0.517569,0
0.789995,-0.0661527,-0.00163905,0.179912,0.50638,-0.508531,-0.465577,0.517894,0
0.795031,-0.0661527,-0.00163905,0.179912,0.50638,-0.508531,-0.465577,0.517894,0
0.800033,-0.0661527,-0.00163905,0.179912,0.506681,-0.508182,-0.465272,0.518215,0
0.805034,-0.0661527,-0.00163905,0.179912,0.506287,-0.50796,-0.46553,0.518586,0
0.80999,-0.0660996,-0.00163991,0.179924,0.506287,-0.50796,-0.46553,0.518586,0
0.81503,-0.0660996,-0.00163991,0.179924,0.506287,-0.50796,-0.46553,0.518586,0
0.82002,-0.0660464,-0.00164076,0.179935,0.506287,-0.50796,-0.46553,0.518586,0
0.82503,-0.0660464,-0.00164076,0.179935,0.505894,-0.507737,-0.465788,0.518957,0
0.830055,-0.0660464,-0.00164076,0.179935,0.505894,-0.507737,-0.465788,0.518957,0
0.835045,-0.0659933,-0.00164161,0.179947,0.506194,-0.507389,-0.465483,0.519279,0
0.840019,-0.0659933,-0.00164161,0.179947,0.506194,-0.507389,-0.465483,0.519279,0
